Pump pulses;Hypo. tank level;Chlorine setpoint;Dosing pump;UV percentage;Flow;Influent turbidity;Effluent turbidity;pH;Coagulant PPM
53.55;64.87;0.7;1;31.37;88.28;1.81;0.88;9.21;0
58.16;78.75;0.7;1;25.93;96.72;0.61;0.32;8.8;0
44.44;64.19;0.7;2;35.08;97.81;1.06;0.57;9.06;0
56.36;69.62;0.7;1;32.24;90.47;0.69;0.39;8.79;0
51.86;66.44;0.7;1;34.2;95.16;0.54;0.28;8.89;0
60.19;70.06;0.7;1;32.95;92.5;0.77;0.44;8.93;0
49.28;75.31;0.7;2;26.05;102.5;0.72;0.32;8.67;0
39.15;83.62;0.7;2;32.12;94.84;0.61;0.26;8.73;0
58.5;78.5;0.7;1;25.61;100.31;0.61;0.31;8.82;0
45.1;48.06;0.7;2;31.2;87.81;1.62;1.07;7.98;0
55.8;78.25;0.7;1;26.33;97.5;0.58;0.3;8.8;0
53.89;47.44;0.7;1;31.19;88.12;1.46;0.99;7.96;0
50.4;69.06;0.7;1;32.14;90.47;0.66;0.27;8.92;0
51.97;39.94;0.7;2;30.01;92.66;0.64;0.34;8.59;0
53.55;69.12;0.7;1;34.17;97.03;0.67;0.27;8.94;0
46.11;51.06;0.7;2;33.33;94.84;1.35;0.96;8;0
51.52;67.56;0.7;1;33.82;93.44;0.56;0.29;9.04;0
44.44;64.19;0.7;2;33.81;97.03;0.9;0.53;9.12;0
49.95;38.06;0.7;2;32.58;94.22;0.58;0.25;8.65;0
46.46;59.13;0.7;2;34.97;98.91;1.65;0.91;8.22;0
54.73;50.25;0.7;1;32.44;90.31;10.08;0.79;7.81;17.98
44.1;80.81;0.7;2;21.73;91.41;0.87;0.49;8.9;0
62.33;61.19;1;1;26.28;73.44;6.16;2.89;8.19;20.14
49.02;51.37;0.7;2;34.85;99.84;1.45;1;7.96;0
36.22;84.37;0.7;2;31.8;89.22;0.75;0.24;8.73;0
39.38;68.31;0.7;2;32.06;90.62;0.6;0.28;8.81;0
60.64;60.06;0.7;1;33.96;95.47;2.43;1.11;8.21;0
44.78;76.5;0.7;2;27.62;98.28;0.54;0.24;8.65;0
36.9;84.75;0.7;2;32.03;89.37;0.61;0.22;8.68;0
58.16;69.87;0.7;1;34.07;98.28;0.76;0.43;9.01;0
60.41;70.06;0.7;1;32.6;92.5;0.76;0.43;8.93;0
62.81;50.88;0.7;1;35.48;101.56;1.24;0.89;7.98;0
50.29;69;0.7;1;31.63;90.16;0.65;0.28;8.84;0
46.46;73;0.7;2;21.17;86.72;1.05;0.57;8.93;0
46;51.06;0.7;2;33.67;94.37;1.44;0.96;8.01;0
47.14;41.37;0.7;2;27.66;86.09;0.84;0.45;8.56;0
63.11;74.5;1;2;16.93;84.53;3.58;1.26;8.73;18.47
63.79;40.88;0.7;1;28.36;93.75;0.78;0.44;8.5;0
37.69;84.69;0.7;2;32.7;91.87;0.61;0.22;8.68;0
41.96;65.5;0.7;2;32.89;91.09;3.04;1.26;9.25;0
71.25;52.75;1;2;31.76;97.34;3.07;1.61;8.05;0
57.04;78.62;0.7;1;25.93;96.87;0.61;0.32;8.77;0
50.4;69;0.7;1;31.58;89.84;0.64;0.28;8.84;0
52.99;67.87;0.7;1;33.33;95.62;0.59;0.3;8.92;0
47.59;73.06;0.7;2;20.33;85;1.19;0.6;9.17;0
43.2;67.31;0.7;2;36.86;103.28;0.58;0.29;8.91;0
56.59;69.69;0.7;1;31.11;85.62;0.73;0.39;8.84;0
44.44;64.19;0.7;2;35.03;98.44;0.95;0.54;9.09;0
39.83;66.81;0.7;2;32.94;94.84;0.55;0.28;9.05;0
46.11;51.13;0.7;2;33.26;94.53;1.37;0.97;8.01;0
43.66;48.06;0.7;2;30.05;83.75;1.57;1.04;7.98;0
46.91;76.75;0.7;2;26.79;100.78;0.55;0.26;8.56;0
59.85;69.94;0.7;1;32.68;94.69;0.76;0.42;8.99;0
46.46;73.19;0.7;2;20.04;84.22;1.12;0.57;9.19;0
62.55;60.12;0.7;1;33.39;96.25;2.47;1.12;8.21;0
59.96;62.69;0.7;2;37.24;104.22;1.86;1.01;9.04;0
53.21;69.12;0.7;1;34.49;100;0.67;0.26;8.93;0
70.2;63.19;0.7;1;36.13;101.87;2.5;1.39;8.98;0
44.78;76.5;0.7;2;27.58;97.34;0.52;0.24;8.65;0
55.8;78.31;0.7;1;26.36;97.19;0.58;0.3;8.8;0
43.2;76.69;0.7;2;27.63;91.25;0.54;0.26;8.64;0
56.18;49.75;1;2;30.41;85.78;3.86;2.03;7.78;18.93
35.44;84.5;0.7;2;30.99;85.62;0.58;0.22;8.73;0
58.05;69.94;0.7;1;35.49;98.59;0.77;0.43;9;0
46.01;48.31;0.7;2;31.44;87.5;1.65;1.08;7.94;0
56.59;69.75;0.7;1;31.76;87.03;0.72;0.39;8.83;0
46.91;76.69;0.7;2;27.2;99.84;0.54;0.26;8.56;0
41.74;68.56;0.7;2;33.33;95;0.63;0.29;8.81;0
43.65;58.87;0.7;2;32.01;89.84;1.5;0.86;8.22;0
60.53;70.06;0.7;1;32.43;92.97;0.77;0.43;8.94;0
48.94;83.94;0.7;1;31.51;87.34;0.72;0.34;8.74;0
60.22;53.19;0.7;1;33.58;95.16;2.12;1.06;8.02;0
44.78;59.19;0.7;2;32.79;91.25;1.67;0.91;8.23;0
52.09;68.94;0.7;1;33.67;93.91;0.65;0.28;8.8;0
63.79;40.88;0.7;1;28.39;96.56;0.78;0.45;8.51;0
59.78;52.06;0.7;1;33.05;92.66;2.54;1.33;7.92;0
41.74;68.62;0.7;2;34.27;95.47;0.63;0.28;8.77;0
55.8;78.31;0.7;1;25.64;97.97;0.58;0.31;8.8;0
58.16;59.69;0.7;1;32.14;90.78;1.95;1;8.23;0
53.42;50.31;0.7;1;31.74;89.37;9.79;0.62;7.82;17.99
45.9;72.69;0.7;2;21.91;88.28;0.97;0.51;8.77;0
59.78;52.06;0.7;1;32.91;92.81;2.49;1.32;7.92;0
44.19;52.5;0.7;2;33.98;96.87;4.23;0.68;7.9;17.43
43.2;76.62;0.7;2;27.33;90.62;0.54;0.26;8.64;0
48.73;51.44;0.7;2;34.71;98.44;1.45;1.01;7.96;0
46.76;51.25;0.7;2;32.7;90.78;1.43;0.99;7.98;0
41.06;64.12;0.7;2;32.22;90.78;0.89;0.51;9.11;0
41.17;60.94;1;2;21.68;62.5;4.01;2.57;8.17;19.64
44.89;59.19;0.7;2;34.38;96.72;1.66;0.91;8.23;0
62.66;60.12;0.7;1;33.92;96.25;2.53;1.12;8.21;0
43.2;67.31;0.7;2;37.54;104.06;0.57;0.3;8.93;0
49.61;38.06;0.7;2;32.55;93.75;0.55;0.24;8.66;0
42.41;86.19;0.7;2;33.28;98.12;0.61;0.24;8.64;0
39.26;65.81;0.7;2;32.91;94.84;0.55;0.28;9.02;0
41.74;68.62;0.7;2;34.94;94.69;0.65;0.29;8.74;0
58.16;59.69;0.7;1;32.29;90.47;1.96;1;8.23;0
56.92;48.63;0.7;1;29.38;82.97;1.81;1.12;7.9;0
43.65;58.87;0.7;2;31.41;88.75;1.5;0.86;8.22;0
59.92;52.06;0.7;1;32.68;92.81;2.55;1.34;7.92;0
64.35;37.19;0.7;1;32.99;94.69;0.58;0.24;8.69;0
71.09;52.75;1;2;31.93;97.34;2.99;1.59;8.06;0
49.84;39.63;0.7;2;30.44;90.94;0.61;0.32;8.6;0
49.28;75.31;0.7;2;26.05;100.16;0.71;0.32;8.67;0
46.35;75.75;0.7;2;27.09;96.87;0.71;0.3;8.61;0
41.06;75.06;0.7;2;30.58;92.34;5.67;0.08;8.71;23.16
70.43;39.44;0.7;1;31.13;99.69;0.64;0.32;8.59;0
